#Taxon_ID	Taxon_Rank	Taxon_Name	Probability_Mass
Unclassifiable	Unknown	Unknown	3.80807622133976
28183	species	LEPTOSPIRA SANTAROSAI	8.9795990692006
33154	no rank	OPISTHOKONTA	8.80202155477258
10345	species	SUID HERPESVIRUS 1	5.5880376306297
2759	superkingdom	EUKARYOTA	5.105189924357
10353	species	SAIMIRIINE HERPESVIRUS 1	5.00965092907
180252	genus	MARDIVIRUS	2.67417235110547
10319	genus	VARICELLOVIRUS	2.46237849797907
171	genus	LEPTOSPIRA	2.426604643441
153135	genus	GAMMARETROVIRUS	2.30597114593028
1193013	species	LEPTOSPIRA SP. FIOCRUZ LV4135	2.174071793742
63221	subspecies	HOMO SAPIENS NEANDERTHALENSIS	1.881880879993
1049983	no rank	LEPTOSPIRA SANTAROSAI STR. HAI821	1.871526892628
10501	family	PHYCODNAVIRIDAE	1.79337852723637
271108	species	BOMBYX MORI NUCLEOPOLYHEDROVIRUS	1.57156370529233
10455	species	SPODOPTERA FRUGIPERDA MULTIPLE NUCLEOPOLYHEDROVIRUS	1.54303851422918
538	genus	EIKENELLA	1.47278870778659
539	species	EIKENELLA CORRODENS	1.47278870778659
546274	no rank	EIKENELLA CORRODENS ATCC 23834	1.47278870778659
558016	genus	ALPHABACULOVIRUS	1.33565064283823
1367205	species	CHORISTONEURA ROSACEANA ALPHABACULOVIRUS	1.3035755488161
490711	species	ORGYIA LEUCOSTIGMA NPV	1.28735806367973
10442	family	BACULOVIRIDAE	1.28462191492742
320432	species	CHRYSODEIXIS CHALCITES NUCLEOPOLYHEDROVIRUS	1.27020923618132
31508	species	AGROTIS SEGETUM NUCLEOPOLYHEDROVIRUS	1.21475258445543
10358	genus	CYTOMEGALOVIRUS	1.1249729186965
346673	genus	COCCOLITHOVIRUS	1.07016377142797
181082	species	EMILIANIA HUXLEYI VIRUS 86	1.07016377142797
195253	species	SYNECHOCOCCUS SP. PCC 6312	1.0650282686494
11884	species	Y73 SARCOMA VIRUS	1
104388	species	ANATID HERPESVIRUS 1	0.9933407011074
9597	species	PAN PANISCUS	0.9792543495838
74660	species	CHORISTONEURA FUMIFERANA DEF MULTIPLE NUCLEOPOLYHEDROVIRUS	0.9558242507152
566270	species	SPODOPTERA LITURA NUCLEOPOLYHEDROVIRUS II	0.931964008795583
10449	species	LYMANTRIA DISPAR MULTIPLE NUCLEOPOLYHEDROVIRUS	0.9153723820588
28211	class	ALPHAPROTEOBACTERIA	0.898516601659
314293	infraorder	SIMIIFORMES	0.8918918971017
9605	genus	HOMO	0.878744429989317
9606	species	HOMO SAPIENS	0.878744429989317
578454	no rank	CANDIDA PARAPSILOSIS CDC317	0.8127897580688
5480	species	CANDIDA PARAPSILOSIS	0.8127897580688
1224	phylum	PROTEOBACTERIA	0.810901450572646
10454	species	SPODOPTERA EXIGUA MULTIPLE NUCLEOPOLYHEDROVIRUS	0.789182980279283
51368	no rank	UNCLASSIFIED DSDNA VIRUSES	0.775991087113
327045	subfamily	ORTHORETROVIRINAE	0.7677073088121
1126681	no rank	BACILLUS CEREUS F	0.7558452517838
46242	species	SPODOPTERA LITURA NUCLEOPOLYHEDROVIRUS	0.726274420596
161494	species	ANTHERAEA PERNYI NUCLEOPOLYHEDROVIRUS	0.705822338651
1049982	no rank	LEPTOSPIRA SANTAROSAI STR. HAI1380	0.70489820927
1239	phylum	FIRMICUTES	0.7047255393497
328432	no rank	UNCLASSIFIED NUCLEOPOLYHEDROVIRUS	0.6729840162666
168238	no rank	PORCINE ENDOGENOUS RETROVIRUS E	0.666672966224267
1193058	no rank	LEPTOSPIRA SANTAROSAI STR. 200403458	0.6603753329873
207830	species	MAMESTRA CONFIGURATA NUCLEOPOLYHEDROVIRUS A	0.653786962359333
29250	species	HELIOTHIS ZEA VIRUS 1	0.637598465017
1128424	no rank	HELICOVERPA ZEA NUDIVIRUS 2	0.637598465017
483372	no rank	NUDIVIRUS	0.637598465017
9598	species	PAN TROGLODYTES	0.6288374451413
1049976	no rank	LEPTOSPIRA SANTAROSAI SEROVAR ARENAL STR. MAVJ 401	0.615780897164
332054	species	TRICHOPLUSIA NI SINGLE NUCLEOPOLYHEDROVIRUS	0.61214651237032
206037	no rank	HUMAN ENDOGENOUS RETROVIRUSES	0.610281080141333
45617	species	HUMAN ENDOGENOUS RETROVIRUS K	0.610281080141333
166122	no rank	HUMAN ENDOGENOUS RETROVIRUS K113	0.610281080141333
10386	species	GALLID HERPESVIRUS 1	0.6069305539735
180255	genus	ILTOVIRUS	0.6069305539735
65058	species	CORYNEBACTERIUM ULCERANS	0.573828929628
208013	species	AGROTIS IPSILON MULTIPLE NUCLEOPOLYHEDROVIRUS	0.528761117694333
2037	order	ACTINOMYCETALES	0.5116896824529
72274	order	PSEUDOMONADALES	0.4892212728352
599737	genus	WICKERHAMOMYCES	0.475596844290653
115784	family	PHAFFOMYCETACEAE	0.475596844290653
885923	no rank	WICKERHAMOMYCES ANOMALUS NRRL Y 366	0.475596844290653
4927	species	WICKERHAMOMYCES ANOMALUS	0.475596844290653
10114	genus	RATTUS	0.4754649412325
10116	species	RATTUS NORVEGICUS	0.4754649412325
314295	superfamily	HOMINOIDEA	0.4752223030051
307456	species	AUTOGRAPHA CALIFORNICA MULTIPLE NUCLEOPOLYHEDROVIRUS	0.4631119436101
379891	species	PLUTELLA XYLOSTELLA MULTIPLE NUCLEOPOLYHEDROVIRUS	0.448860547508
10335	species	HUMAN HERPESVIRUS 3	0.437347130829547
10338	no rank	HUMAN HERPESVIRUS 3 STRAIN DUMAS	0.437347130829547
1049984	no rank	LEPTOSPIRA SANTAROSAI STR. MOR084	0.428570554181
46015	no rank	AUTOGRAPHA CALIFORNICA NUCLEOPOLYHEDROVIRUS	0.4194701419172
11640	genus	SPUMAVIRUS	0.4153087786465
327046	subfamily	SPUMARETROVIRINAE	0.4153087786465
28288	species	HYPHANTRIA CUNEA NUCLEOPOLYHEDROVIRUS	0.4129695542388
1193059	no rank	LEPTOSPIRA SANTAROSAI STR. CBC1416	0.4113795584917
1071379	species	TETRAPISISPORA BLATTAE	0.409793793000496
1071380	no rank	TETRAPISISPORA BLATTAE CBS 6284	0.409793793000496
113604	genus	TETRAPISISPORA	0.409793793000496
307467	species	EUPROCTIS PSEUDOCONSPERSA NUCLEOPOLYHEDROVIRUS	0.393165648539125
58138	species	DESULFOTOMACULUM ACETOXIDANS	0.355272726473685
485916	no rank	DESULFOTOMACULUM ACETOXIDANS DSM 771	0.355272726473685
1562	genus	DESULFOTOMACULUM	0.355272726473685
35246	species	CERCOPITHECINE HERPESVIRUS 9	0.35444955494589
